# T_max = 10000000.0
# q            H            sH           K            sK           Px            sPx           Py            sPy           Q             sQ
1.000000e-04 1.608815e+01 9.534642e-02 -2.415189e-01 4.932696e-02 -3.286585e-01 3.917121e-03 1.107379e-02 3.384033e-03 -7.355935e-01 4.487180e-01
2.000000e-04 1.948576e+01 2.027826e-01 -8.244646e-01 7.906187e-02 -3.136730e-01 4.391963e-03 9.706925e-02 3.105377e-03 -5.499587e+00 1.256815e+00
5.000000e-04 2.340753e+01 3.342420e-01 -2.351322e-01 7.179558e-02 nan nan nan nan -7.081566e+01 3.418600e+00
1.000000e-03 2.349572e+01 2.344666e-01 8.880370e-02 5.089721e-02 -2.798278e-01 3.723981e-03 1.068854e-01 2.707209e-03 -7.519074e+01 2.525821e+00
2.000000e-03 2.303603e+01 1.802414e-01 2.896583e-01 3.379659e-02 -2.690179e-01 3.232248e-03 9.704680e-02 2.580062e-03 -4.523527e+01 1.298357e+00
5.000000e-03 2.159843e+01 1.130570e-01 3.586001e-01 1.999377e-02 -2.699793e-01 2.883568e-03 8.681002e-02 2.540441e-03 -2.470050e+01 5.343167e-01
1.000000e-02 2.073971e+01 8.472201e-02 3.422270e-01 1.308810e-02 -2.635033e-01 2.763132e-03 6.590136e-02 2.555708e-03 -1.487015e+01 3.070019e-01
2.000000e-02 1.982812e+01 6.534652e-02 2.678998e-01 8.537213e-03 -2.462731e-01 2.724084e-03 3.497156e-02 2.587869e-03 -8.711277e+00 1.685274e-01
5.000000e-02 1.875410e+01 4.701982e-02 2.200240e-01 5.010587e-03 -2.223827e-01 2.734295e-03 -7.973606e-03 2.645236e-03 -4.323804e+00 8.293291e-02
1.000000e-01 1.801880e+01 3.729335e-02 1.853701e-01 3.499458e-03 -1.969424e-01 2.750911e-03 -3.735111e-02 2.685115e-03 -2.736972e+00 4.431112e-02
2.000000e-01 1.746902e+01 3.065566e-02 1.548221e-01 2.596283e-03 -1.672477e-01 2.770262e-03 -4.531543e-02 2.711583e-03 -1.770983e+00 3.494153e-02
3.000000e-01 1.721487e+01 2.825306e-02 1.367236e-01 2.256460e-03 -1.289416e-01 2.778817e-03 -3.717262e-02 2.723397e-03 -1.513060e+00 2.510387e-02
4.000000e-01 1.701811e+01 2.659272e-02 1.298834e-01 2.086422e-03 -1.025183e-01 2.788300e-03 -2.258542e-02 2.731174e-03 -1.384111e+00 2.609692e-02
5.000000e-01 1.689336e+01 2.578002e-02 1.197572e-01 1.988772e-03 -8.065753e-02 2.795305e-03 -1.362219e-02 2.737307e-03 -1.306373e+00 3.586152e-02
6.000000e-01 1.683239e+01 2.544901e-02 1.155040e-01 1.934637e-03 -6.062977e-02 2.796195e-03 -6.174507e-03 2.743432e-03 -1.307343e+00 2.676687e-02
7.000000e-01 1.681708e+01 2.510786e-02 1.132937e-01 1.892247e-03 -3.594533e-02 2.795792e-03 -4.409746e-06 2.742371e-03 -1.227676e+00 1.609360e-02
8.000000e-01 1.672737e+01 2.492013e-02 1.118427e-01 1.876791e-03 -2.838888e-02 2.803257e-03 -2.030119e-03 2.751994e-03 -1.206391e+00 1.703223e-02
9.000000e-01 1.672947e+01 2.476543e-02 1.102333e-01 1.862932e-03 -1.247730e-02 2.802772e-03 4.981378e-04 2.748468e-03 -1.232418e+00 2.599762e-02
1.000000e+00 1.673681e+01 2.477207e-02 1.052211e-01 1.854239e-03 -3.914600e-03 2.803942e-03 3.811821e-03 2.746091e-03 -1.183861e+00 1.602192e-02
