# T_max = 100000000000.0
# q            H            sH           K            sK           Px            sPx           Py            sPy           Q             sQ
1.000000e-04 2.133912e+01 4.932774e-01 2.165324e+00 3.629621e-01 -2.935627e-01 7.247096e-03 1.288526e-01 3.898836e-03 -1.171435e+02 7.122667e+00
2.000000e-04 2.164625e+01 3.160048e-01 2.591988e+00 2.266258e-01 -2.812377e-01 4.791448e-03 1.252078e-01 3.073469e-03 -1.410048e+02 7.002359e+00
5.000000e-04 2.222160e+01 3.213056e-01 1.516108e+00 1.143506e-01 nan nan nan nan -1.261739e+02 5.401987e+00
1.000000e-03 2.172439e+01 2.282192e-01 1.010445e+00 6.940118e-02 -2.699853e-01 3.752463e-03 1.066348e-01 2.719711e-03 -9.149258e+01 3.404423e+00
2.000000e-03 2.148280e+01 1.711260e-01 7.663123e-01 4.216068e-02 -2.633507e-01 3.246360e-03 9.585721e-02 2.604647e-03 -5.354695e+01 1.985557e+00
5.000000e-03 2.056539e+01 1.084544e-01 5.152027e-01 2.241980e-02 -2.671786e-01 2.912021e-03 8.634928e-02 2.573985e-03 -2.737635e+01 9.028288e-01
1.000000e-02 2.007732e+01 8.281493e-02 3.943287e-01 1.394369e-02 -2.615059e-01 2.792523e-03 6.553973e-02 2.586173e-03 -1.565924e+01 5.971040e-01
2.000000e-02 1.942015e+01 6.447144e-02 2.878019e-01 8.827353e-03 -2.449806e-01 2.748382e-03 3.488046e-02 2.612294e-03 -9.374128e+00 3.127875e-01
5.000000e-02 1.855122e+01 4.674603e-02 2.240365e-01 5.082635e-03 -2.217544e-01 2.750215e-03 -8.154938e-03 2.660983e-03 -4.595363e+00 3.007732e-01
1.000000e-01 1.789936e+01 3.717521e-02 1.871816e-01 3.525793e-03 -1.965717e-01 2.761706e-03 -3.751641e-02 2.695721e-03 -2.900450e+00 7.318318e-02
2.000000e-01 1.739505e+01 3.060189e-02 1.553786e-01 2.607578e-03 -1.670969e-01 2.777568e-03 -4.536127e-02 2.718758e-03 -1.818567e+00 5.785032e-02
3.000000e-01 1.715589e+01 2.821347e-02 1.371211e-01 2.264291e-03 -1.287869e-01 2.784924e-03 -3.724674e-02 2.729413e-03 -1.474850e+00 1.093879e-01
4.000000e-01 1.696754e+01 2.656298e-02 1.299191e-01 2.092548e-03 -1.024467e-01 2.793653e-03 -2.259685e-02 2.736542e-03 -1.336973e+00 4.882937e-02
5.000000e-01 1.684613e+01 2.575247e-02 1.198063e-01 1.994032e-03 -8.058967e-02 2.800444e-03 -1.360035e-02 2.742349e-03 -1.179473e+00 1.510405e-01
6.000000e-01 1.678749e+01 2.542276e-02 1.157120e-01 1.939437e-03 -6.060578e-02 2.801123e-03 -6.167429e-03 2.748213e-03 -1.373945e+00 4.468746e-02
7.000000e-01 1.677366e+01 2.508257e-02 1.134427e-01 1.896879e-03 -3.591032e-02 2.800485e-03 9.492849e-05 2.747068e-03 -1.236441e+00 2.176324e-02
8.000000e-01 1.668526e+01 2.489651e-02 1.120783e-01 1.881554e-03 -2.839826e-02 2.807955e-03 -2.015631e-03 2.756629e-03 -1.236356e+00 3.325397e-02
9.000000e-01 1.668706e+01 2.474139e-02 1.104006e-01 1.867505e-03 -1.247882e-02 2.807474e-03 4.554812e-04 2.753114e-03 -1.224738e+00 6.480827e-02
1.000000e+00 1.669530e+01 2.474921e-02 1.054630e-01 1.858707e-03 -3.938169e-03 2.808557e-03 3.769625e-03 2.750630e-03 -1.192889e+00 2.004950e-02
