# T_max = 10000.0
# q            H            sH           K            sK           Px            sPx           Py            sPy           Q             sQ
1.000000e-04 1.112365e+01 4.572544e-02 2.707040e-01 7.402656e-03 -3.094949e-01 4.628454e-03 -2.798836e-01 4.447922e-03 -3.785174e-01 5.138800e-03
2.000000e-04 1.105518e+01 3.650733e-02 2.635888e-01 3.662883e-03 -3.057578e-01 4.557776e-03 -2.820905e-01 4.440945e-03 -3.851865e-01 4.050704e-03
5.000000e-04 1.106323e+01 3.976382e-02 2.670962e-01 4.559423e-03 nan nan nan nan -3.799403e-01 4.312889e-03
1.000000e-03 1.118116e+01 3.829161e-02 2.634713e-01 3.997563e-03 -3.007857e-01 4.535810e-03 -2.758976e-01 4.397701e-03 -3.791346e-01 4.358685e-03
2.000000e-03 1.156489e+01 6.496567e-02 2.417412e-01 5.299079e-03 -3.016531e-01 4.631968e-03 -2.625687e-01 4.468380e-03 -3.841094e-01 5.387271e-03
5.000000e-03 1.324808e+01 5.976946e-02 1.384552e-01 5.031187e-03 -3.215394e-01 4.186811e-03 -1.293060e-01 3.894134e-03 -4.791504e-01 1.093602e-02
1.000000e-02 1.594338e+01 6.156487e-02 1.809666e-03 5.766191e-03 -3.024151e-01 3.597404e-03 -5.804515e-03 3.382839e-03 -1.106910e+00 2.144430e-02
2.000000e-02 1.895871e+01 6.567145e-02 -1.124749e-02 5.464953e-03 -2.737999e-01 3.112115e-03 2.580641e-02 2.950386e-03 -2.939541e+00 3.306358e-02
5.000000e-02 1.998442e+01 5.139353e-02 5.838606e-02 3.917623e-03 -2.386100e-01 2.834588e-03 -3.544226e-03 2.738035e-03 -2.885748e+00 2.016840e-02
1.000000e-01 1.945713e+01 4.091977e-02 8.795208e-02 2.967687e-03 -2.068832e-01 2.771614e-03 -3.482125e-02 2.704368e-03 -2.090644e+00 1.173773e-02
2.000000e-01 1.876946e+01 3.306163e-02 9.990896e-02 2.325642e-03 -1.739638e-01 2.759666e-03 -4.295169e-02 2.700651e-03 -1.487406e+00 7.567840e-03
3.000000e-01 1.841041e+01 3.020903e-02 9.453534e-02 2.057986e-03 -1.353360e-01 2.757727e-03 -3.672583e-02 2.702776e-03 -1.267723e+00 6.273349e-03
4.000000e-01 1.812980e+01 2.822506e-02 9.328199e-02 1.921519e-03 -1.058897e-01 2.764470e-03 -2.157917e-02 2.706927e-03 -1.184995e+00 5.738983e-03
5.000000e-01 1.797069e+01 2.731571e-02 8.660657e-02 1.840313e-03 -8.354161e-02 2.768886e-03 -1.403653e-02 2.711232e-03 -1.118932e+00 5.367406e-03
6.000000e-01 1.787970e+01 2.690735e-02 8.504417e-02 1.796515e-03 -6.307029e-02 2.768233e-03 -5.561550e-03 2.716444e-03 -1.094068e+00 5.227644e-03
7.000000e-01 1.783737e+01 2.650235e-02 8.361316e-02 1.760367e-03 -3.750127e-02 2.768473e-03 -7.722571e-04 2.715354e-03 -1.065503e+00 5.105341e-03
8.000000e-01 1.773408e+01 2.628035e-02 8.290621e-02 1.749053e-03 -2.960258e-02 2.774963e-03 -1.167944e-03 2.724140e-03 -1.063037e+00 5.084299e-03
9.000000e-01 1.774011e+01 2.612573e-02 8.216837e-02 1.735790e-03 -1.305274e-02 2.774384e-03 7.370064e-07 2.720533e-03 -1.053889e+00 5.049190e-03
1.000000e+00 1.774381e+01 2.612095e-02 7.746293e-02 1.727716e-03 -3.638889e-03 2.775987e-03 3.551757e-03 2.718014e-03 -1.060725e+00 5.065447e-03
