# T_max = 1000.0
# q            H            sH           K            sK           Px            sPx           Py            sPy           Q             sQ
1.000000e-04 1.112364e+01 4.572545e-02 2.707046e-01 7.402664e-03 -3.094954e-01 4.628459e-03 -2.798855e-01 4.447929e-03 -3.785189e-01 5.138807e-03
2.000000e-04 1.105424e+01 3.650398e-02 2.636308e-01 3.662975e-03 -3.058270e-01 4.558012e-03 -2.821009e-01 4.441273e-03 -3.849866e-01 4.046976e-03
5.000000e-04 1.104038e+01 3.852889e-02 2.671275e-01 4.387227e-03 -3.079182e-01 4.581018e-03 -2.876379e-01 4.451947e-03 -3.790953e-01 4.031472e-03
1.000000e-03 1.107238e+01 3.378288e-02 2.634150e-01 3.456111e-03 -3.018177e-01 4.536751e-03 -2.779973e-01 4.403850e-03 -3.831916e-01 3.614131e-03
2.000000e-03 1.113331e+01 5.877734e-02 2.562559e-01 4.827562e-03 -2.965107e-01 4.683254e-03 -2.809625e-01 4.574439e-03 -3.833959e-01 4.356525e-03
5.000000e-03 1.114146e+01 3.279193e-02 2.621132e-01 3.425114e-03 -3.076249e-01 4.520329e-03 -2.775790e-01 4.372077e-03 -3.827127e-01 4.082107e-03
1.000000e-02 1.141354e+01 3.596487e-02 2.544483e-01 3.533763e-03 -3.028770e-01 4.454214e-03 -2.605533e-01 4.307085e-03 -3.822900e-01 4.112682e-03
2.000000e-02 1.232752e+01 3.759225e-02 2.015773e-01 3.332269e-03 -2.988567e-01 4.203419e-03 -1.949739e-01 4.065147e-03 -4.128726e-01 4.417759e-03
5.000000e-02 1.519516e+01 4.103981e-02 7.361989e-02 3.022163e-03 -2.559814e-01 3.562739e-03 -5.886197e-02 3.451563e-03 -7.412203e-01 6.858766e-03
1.000000e-01 1.737360e+01 3.985979e-02 5.292284e-02 2.612026e-03 -2.133175e-01 3.145005e-03 -4.442728e-02 3.068275e-03 -1.162279e+00 7.396110e-03
2.000000e-01 1.819092e+01 3.427155e-02 6.146751e-02 2.159244e-03 -1.762174e-01 2.952906e-03 -4.609128e-02 2.890991e-03 -1.119908e+00 5.746490e-03
3.000000e-01 1.827241e+01 3.161375e-02 5.790174e-02 1.935961e-03 -1.370938e-01 2.896679e-03 -3.904069e-02 2.838730e-03 -1.018962e+00 4.913554e-03
4.000000e-01 1.815804e+01 2.960643e-02 5.862684e-02 1.818777e-03 -1.068738e-01 2.881885e-03 -2.451617e-02 2.820449e-03 -9.836360e-01 4.566153e-03
5.000000e-01 1.810641e+01 2.872758e-02 5.399479e-02 1.746350e-03 -8.460759e-02 2.871816e-03 -1.695093e-02 2.812043e-03 -9.461850e-01 4.344392e-03
6.000000e-01 1.805080e+01 2.828435e-02 5.197555e-02 1.705853e-03 -6.535655e-02 2.864918e-03 -7.460545e-03 2.811345e-03 -9.220517e-01 4.216307e-03
7.000000e-01 1.803242e+01 2.787600e-02 5.131481e-02 1.674781e-03 -3.847088e-02 2.861485e-03 -2.573435e-03 2.805829e-03 -9.130750e-01 4.148528e-03
8.000000e-01 1.794534e+01 2.767343e-02 5.131034e-02 1.666568e-03 -2.983958e-02 2.865746e-03 -2.596157e-03 2.814522e-03 -9.111950e-01 4.136066e-03
9.000000e-01 1.797595e+01 2.752045e-02 4.965768e-02 1.652161e-03 -1.390955e-02 2.862541e-03 3.412508e-04 2.807290e-03 -8.986949e-01 4.086857e-03
1.000000e+00 1.796660e+01 2.749010e-02 4.704215e-02 1.644723e-03 -3.994250e-03 2.864761e-03 4.086351e-03 2.805984e-03 -9.012889e-01 4.089352e-03
