# T_max = 100000.0
# q            H            sH           K            sK           Px            sPx           Py            sPy           Q             sQ
1.000000e-04 1.113959e+01 4.581284e-02 2.709056e-01 7.402759e-03 -3.093227e-01 4.625054e-03 -2.795087e-01 4.442901e-03 -3.779252e-01 5.152555e-03
2.000000e-04 1.112720e+01 3.727286e-02 2.610497e-01 3.730908e-03 -3.046704e-01 4.539912e-03 -2.804814e-01 4.424680e-03 -3.835291e-01 4.220273e-03
5.000000e-04 1.164196e+01 4.884747e-02 2.430638e-01 5.688746e-03 nan nan nan nan -3.823131e-01 7.466086e-03
1.000000e-03 1.303924e+01 5.729343e-02 1.624608e-01 7.684530e-03 -3.240110e-01 4.218186e-03 -1.447558e-01 3.945109e-03 -4.602844e-01 1.915808e-02
2.000000e-03 1.589174e+01 9.555633e-02 -5.962560e-02 1.077654e-02 -3.076692e-01 3.889537e-03 -7.485078e-03 3.435848e-03 -8.761624e-01 5.569249e-02
5.000000e-03 2.023930e+01 1.050403e-01 -1.282056e-01 1.287402e-02 -2.956851e-01 3.230949e-03 7.340578e-02 2.859683e-03 -7.075978e+00 1.406313e-01
1.000000e-02 2.163437e+01 9.118832e-02 3.107188e-02 9.794244e-03 -2.779737e-01 2.897009e-03 6.536791e-02 2.666223e-03 -9.651008e+00 1.290978e-01
2.000000e-02 2.118792e+01 7.103764e-02 8.472357e-02 6.920671e-03 -2.563184e-01 2.761091e-03 3.646275e-02 2.616017e-03 -6.649557e+00 6.824482e-02
5.000000e-02 1.990119e+01 4.985943e-02 1.412301e-01 4.449421e-03 -2.284108e-01 2.722190e-03 -6.097666e-03 2.630651e-03 -3.702586e+00 2.876351e-02
1.000000e-01 1.888889e+01 3.890966e-02 1.486284e-01 3.252053e-03 -2.008924e-01 2.725620e-03 -3.619388e-02 2.659767e-03 -2.414262e+00 1.670238e-02
2.000000e-01 1.811588e+01 3.156562e-02 1.367591e-01 2.478700e-03 -1.698728e-01 2.742729e-03 -4.498456e-02 2.684189e-03 -1.655266e+00 1.097938e-02
3.000000e-01 1.776698e+01 2.894277e-02 1.236086e-01 2.172705e-03 -1.311075e-01 2.751186e-03 -3.690874e-02 2.695927e-03 -1.389245e+00 8.968097e-03
4.000000e-01 1.751345e+01 2.714393e-02 1.195989e-01 2.019256e-03 -1.037688e-01 2.761342e-03 -2.245151e-02 2.704551e-03 -1.287697e+00 8.427190e-03
5.000000e-01 1.736228e+01 2.629057e-02 1.106104e-01 1.928754e-03 -8.133938e-02 2.768471e-03 -1.350712e-02 2.711192e-03 -1.210681e+00 7.915410e-03
6.000000e-01 1.728447e+01 2.592903e-02 1.077027e-01 1.879283e-03 -6.142380e-02 2.769650e-03 -6.084614e-03 2.717318e-03 -1.181653e+00 7.423720e-03
7.000000e-01 1.725463e+01 2.556265e-02 1.057140e-01 1.840723e-03 -3.650322e-02 2.769663e-03 -5.037031e-05 2.716797e-03 -1.152280e+00 7.322698e-03
8.000000e-01 1.715697e+01 2.536439e-02 1.041077e-01 1.825486e-03 -2.892621e-02 2.777114e-03 -1.883718e-03 2.726493e-03 -1.142008e+00 7.165364e-03
9.000000e-01 1.715753e+01 2.520409e-02 1.034534e-01 1.813760e-03 -1.267341e-02 2.776925e-03 3.179295e-04 2.722983e-03 -1.143193e+00 7.294878e-03
1.000000e+00 1.716281e+01 2.520216e-02 9.819704e-02 1.804405e-03 -3.537485e-03 2.778370e-03 3.509926e-03 2.720596e-03 -1.137493e+00 7.295719e-03
