# T_max = 1000000.0
# q            H            sH           K            sK           Px            sPx           Py            sPy           Q             sQ
1.000000e-04 1.165442e+01 5.873953e-02 2.528790e-01 7.839914e-03 -3.173231e-01 4.599928e-03 -2.562961e-01 4.367160e-03 -3.847514e-01 6.468303e-03
2.000000e-04 1.304205e+01 8.588714e-02 1.651162e-01 9.268093e-03 -3.186560e-01 4.497066e-03 -1.601864e-01 4.049863e-03 -3.940265e-01 2.881168e-02
5.000000e-04 1.657624e+01 1.162404e-01 -1.509575e-01 2.386630e-02 nan nan nan nan -8.917472e-01 1.840790e-01
1.000000e-03 1.993838e+01 1.564369e-01 -3.952253e-01 3.391424e-02 -3.089429e-01 3.771525e-03 9.074184e-02 2.956691e-03 -9.174556e+00 5.065462e-01
2.000000e-03 2.255783e+01 1.661692e-01 -9.925702e-02 2.718566e-02 -2.822208e-01 3.324027e-03 9.328045e-02 2.699261e-03 -2.764849e+01 7.232420e-01
5.000000e-03 2.238546e+01 1.185291e-01 1.297922e-01 1.714006e-02 -2.766653e-01 2.932054e-03 8.608842e-02 2.569114e-03 -2.084870e+01 4.036952e-01
1.000000e-02 2.156617e+01 8.847263e-02 2.023596e-01 1.171950e-02 -2.671724e-01 2.769994e-03 6.634831e-02 2.557046e-03 -1.295354e+01 1.784432e-01
2.000000e-02 2.048503e+01 6.734877e-02 2.041946e-01 7.930155e-03 -2.487274e-01 2.714762e-03 3.565535e-02 2.576466e-03 -7.919846e+00 1.029791e-01
5.000000e-02 1.916896e+01 4.787684e-02 2.000323e-01 4.834803e-03 -2.240759e-01 2.718470e-03 -7.812776e-03 2.628940e-03 -4.146777e+00 5.082159e-02
1.000000e-01 1.829001e+01 3.768896e-02 1.786878e-01 3.428563e-03 -1.978964e-01 2.735710e-03 -3.695522e-02 2.669938e-03 -2.633090e+00 2.950093e-02
2.000000e-01 1.765432e+01 3.085820e-02 1.514108e-01 2.565433e-03 -1.678556e-01 2.757340e-03 -4.522099e-02 2.698846e-03 -1.768500e+00 2.104546e-02
3.000000e-01 1.736814e+01 2.840189e-02 1.345463e-01 2.235247e-03 -1.294528e-01 2.767125e-03 -3.722690e-02 2.711909e-03 -1.477769e+00 1.613278e-02
4.000000e-01 1.715160e+01 2.670322e-02 1.283053e-01 2.069182e-03 -1.028800e-01 2.777329e-03 -2.261139e-02 2.720463e-03 -1.352419e+00 1.357790e-02
5.000000e-01 1.702009e+01 2.588693e-02 1.185955e-01 1.973524e-03 -8.087014e-02 2.784763e-03 -1.368251e-02 2.726987e-03 -1.280654e+00 1.877454e-02
6.000000e-01 1.695152e+01 2.554467e-02 1.144478e-01 1.920670e-03 -6.074782e-02 2.785992e-03 -6.178828e-03 2.733488e-03 -1.253475e+00 1.292743e-02
7.000000e-01 1.693245e+01 2.519886e-02 1.120905e-01 1.879297e-03 -3.604406e-02 2.785803e-03 -2.662238e-05 2.732580e-03 -1.209755e+00 1.247579e-02
8.000000e-01 1.684098e+01 2.500880e-02 1.105540e-01 1.863444e-03 -2.855327e-02 2.793356e-03 -2.109902e-03 2.742223e-03 -1.181841e+00 1.278034e-02
9.000000e-01 1.684298e+01 2.485383e-02 1.092313e-01 1.850182e-03 -1.256800e-02 2.792885e-03 4.239595e-04 2.738712e-03 -1.186473e+00 1.085522e-02
1.000000e+00 1.684841e+01 2.485776e-02 1.041049e-01 1.841357e-03 -3.873150e-03 2.794128e-03 3.803122e-03 2.736425e-03 -1.175720e+00 1.099840e-02
