# H and K (a/a_h = 1.0) at Tmax(q) = 8*(1+q)^3/q^1.5 * 1e10/49076
# Interpolated in log(Tcut), no interpolation in q
# q            Tmax         H            sH           K            sK           flag
1.000000e-04 1.630614e+12 1.718679e+01 2.353679e-01 1.272971e-01 3.524276e-01 1
2.000000e-04 5.766820e+11 1.727533e+01 2.129639e-01 5.959269e-01 2.166031e-01 1
5.000000e-04 1.460216e+11 1.792808e+01 3.113003e-01 2.935287e-01 1.055160e-01 1
1.000000e-03 5.170387e+10 1.767497e+01 2.010353e-01 9.734850e-02 6.308179e-02 0
2.000000e-03 1.833492e+10 1.744394e+01 1.459713e-01 1.671657e-01 3.880982e-02 0
5.000000e-03 4.680196e+09 1.686720e+01 9.915707e-02 1.074636e-01 2.064359e-02 0
1.000000e-02 1.679519e+09 1.643106e+01 7.722363e-02 8.609141e-02 1.290578e-02 0
2.000000e-02 6.116125e+08 1.593536e+01 6.125938e-02 4.855547e-02 8.282253e-03 0
5.000000e-02 1.687850e+08 1.513839e+01 4.424812e-02 6.083396e-02 4.946932e-03 0
1.000000e-01 6.861181e+07 1.475389e+01 3.602677e-02 6.160997e-02 3.559930e-03 0
2.000000e-01 3.149340e+07 1.439802e+01 3.099433e-02 5.971598e-02 2.774103e-03 0
3.000000e-01 2.179561e+07 1.434205e+01 2.929023e-02 5.168761e-02 2.485677e-03 0
4.000000e-01 1.768133e+07 1.417216e+01 2.802037e-02 5.625326e-02 2.352919e-03 0
5.000000e-01 1.556108e+07 1.410584e+01 2.743068e-02 4.869915e-02 2.275373e-03 0
6.000000e-01 1.436660e+07 1.409340e+01 2.722714e-02 4.868727e-02 2.226288e-03 0
7.000000e-01 1.367479e+07 1.414553e+01 2.712787e-02 4.609387e-02 2.189858e-03 0
8.000000e-01 1.328628e+07 1.403892e+01 2.701575e-02 4.268873e-02 2.182862e-03 0
9.000000e-01 1.309537e+07 1.408005e+01 2.697092e-02 4.382895e-02 2.169405e-03 0
1.000000e+00 1.304100e+07 1.407091e+01 2.697290e-02 4.088166e-02 2.163014e-03 0
