# H and K (a/a_h = 0.1) at Tmax(q)
# PCHIP-interpolated in log(q) from discrete datapoints
# q            H            sH           K            sK
1.000000e-04 2.133912e+01 4.932774e-01 2.165324e+00 3.629621e-01
1.047371e-04 2.135621e+01 4.761626e-01 2.226658e+00 3.524442e-01
1.096986e-04 2.137383e+01 4.590367e-01 2.282461e+00 3.420637e-01
1.148951e-04 2.139196e+01 4.420768e-01 2.332924e+00 3.318358e-01
1.203378e-04 2.141061e+01 4.254600e-01 2.378241e+00 3.217754e-01
1.260383e-04 2.142976e+01 4.093637e-01 2.418602e+00 3.118975e-01
1.320088e-04 2.144940e+01 3.939650e-01 2.454201e+00 3.022171e-01
1.382622e-04 2.146952e+01 3.794411e-01 2.485229e+00 2.927493e-01
1.448118e-04 2.149012e+01 3.659692e-01 2.511880e+00 2.835090e-01
1.516717e-04 2.151118e+01 3.537264e-01 2.534344e+00 2.745113e-01
1.588565e-04 2.153270e+01 3.428900e-01 2.552814e+00 2.657711e-01
1.663817e-04 2.155466e+01 3.336372e-01 2.567483e+00 2.573034e-01
1.742633e-04 2.157707e+01 3.261452e-01 2.578543e+00 2.491232e-01
1.825183e-04 2.159990e+01 3.205911e-01 2.586185e+00 2.412456e-01
1.911644e-04 2.162315e+01 3.171521e-01 2.590603e+00 2.336856e-01
2.002200e-04 2.164682e+01 3.160048e-01 2.591985e+00 2.264580e-01
2.097046e-04 2.167267e+01 3.160459e-01 2.585727e+00 2.194469e-01
2.196385e-04 2.170197e+01 3.161596e-01 2.568227e+00 2.125421e-01
2.300430e-04 2.173420e+01 3.163380e-01 2.540516e+00 2.057497e-01
2.409404e-04 2.176883e+01 3.165727e-01 2.503625e+00 1.990760e-01
2.523539e-04 2.180533e+01 3.168556e-01 2.458587e+00 1.925271e-01
2.643081e-04 2.184319e+01 3.171784e-01 2.406434e+00 1.861092e-01
2.768287e-04 2.188188e+01 3.175330e-01 2.348197e+00 1.798286e-01
2.899423e-04 2.192087e+01 3.179111e-01 2.284907e+00 1.736912e-01
3.036771e-04 2.195963e+01 3.183047e-01 2.217598e+00 1.677035e-01
3.180626e-04 2.199765e+01 3.187054e-01 2.147301e+00 1.618715e-01
3.331295e-04 2.203441e+01 3.191051e-01 2.075047e+00 1.562015e-01
3.489101e-04 2.206936e+01 3.194955e-01 2.001868e+00 1.506996e-01
3.654383e-04 2.210200e+01 3.198686e-01 1.928797e+00 1.453721e-01
3.827494e-04 2.213179e+01 3.202160e-01 1.856865e+00 1.402250e-01
4.008806e-04 2.215821e+01 3.205296e-01 1.787104e+00 1.352646e-01
4.198707e-04 2.218074e+01 3.208012e-01 1.720546e+00 1.304972e-01
4.397604e-04 2.219885e+01 3.210226e-01 1.658222e+00 1.259288e-01
4.605922e-04 2.221202e+01 3.211855e-01 1.601165e+00 1.215656e-01
4.824109e-04 2.221972e+01 3.212819e-01 1.550406e+00 1.174140e-01
5.052631e-04 2.222134e+01 3.212584e-01 1.506778e+00 1.134776e-01
5.291979e-04 2.221434e+01 3.199723e-01 1.465835e+00 1.096998e-01
5.542665e-04 2.219864e+01 3.170812e-01 1.425455e+00 1.060511e-01
5.805226e-04 2.217541e+01 3.127911e-01 1.385751e+00 1.025281e-01
6.080224e-04 2.214583e+01 3.073079e-01 1.346838e+00 9.912728e-02
6.368250e-04 2.211105e+01 3.008375e-01 1.308828e+00 9.584507e-02
6.669920e-04 2.207226e+01 2.935860e-01 1.271836e+00 9.267801e-02
6.985880e-04 2.203062e+01 2.857592e-01 1.235974e+00 8.962260e-02
7.316807e-04 2.198730e+01 2.775631e-01 1.201358e+00 8.667534e-02
7.663411e-04 2.194347e+01 2.692036e-01 1.168099e+00 8.383273e-02
8.026434e-04 2.190030e+01 2.608867e-01 1.136313e+00 8.109126e-02
8.406653e-04 2.185896e+01 2.528183e-01 1.106112e+00 7.844744e-02
8.804884e-04 2.182062e+01 2.452044e-01 1.077610e+00 7.589776e-02
9.221979e-04 2.178645e+01 2.382509e-01 1.050922e+00 7.343873e-02
9.658832e-04 2.175761e+01 2.321637e-01 1.026159e+00 7.106684e-02
1.011638e-03 2.173513e+01 2.271162e-01 1.003408e+00 6.877766e-02
1.059560e-03 2.171627e+01 2.225371e-01 9.820959e-01 6.654832e-02
1.109752e-03 2.169939e+01 2.181377e-01 9.618896e-01 6.437171e-02
1.162322e-03 2.168417e+01 2.139024e-01 9.426969e-01 6.224968e-02
1.217383e-03 2.167025e+01 2.098159e-01 9.244252e-01 6.018409e-02
1.275051e-03 2.165731e+01 2.058627e-01 9.069818e-01 5.817679e-02
1.335452e-03 2.164502e+01 2.020274e-01 8.902741e-01 5.622965e-02
1.398713e-03 2.163303e+01 1.982946e-01 8.742096e-01 5.434453e-02
1.464971e-03 2.162100e+01 1.946489e-01 8.586956e-01 5.252327e-02
1.534368e-03 2.160861e+01 1.910748e-01 8.436394e-01 5.076775e-02
1.607053e-03 2.159551e+01 1.875570e-01 8.289485e-01 4.907982e-02
1.683180e-03 2.158137e+01 1.840800e-01 8.145303e-01 4.746134e-02
1.762914e-03 2.156585e+01 1.806284e-01 8.002920e-01 4.591417e-02
1.846425e-03 2.154862e+01 1.771867e-01 7.861413e-01 4.444016e-02
1.933892e-03 2.152934e+01 1.737397e-01 7.719853e-01 4.304118e-02
2.025502e-03 2.150756e+01 1.702717e-01 7.577418e-01 4.171741e-02
2.121452e-03 2.148110e+01 1.667728e-01 7.435391e-01 4.043900e-02
2.221947e-03 2.144961e+01 1.632504e-01 7.294534e-01 3.919400e-02
2.327202e-03 2.141357e+01 1.597147e-01 7.154976e-01 3.798201e-02
2.437444e-03 2.137349e+01 1.561759e-01 7.016847e-01 3.680264e-02
2.552908e-03 2.132985e+01 1.526443e-01 6.880276e-01 3.565547e-02
2.673842e-03 2.128314e+01 1.491301e-01 6.745393e-01 3.454009e-02
2.800504e-03 2.123387e+01 1.456436e-01 6.612327e-01 3.345612e-02
2.933166e-03 2.118252e+01 1.421950e-01 6.481207e-01 3.240314e-02
3.072113e-03 2.112959e+01 1.387945e-01 6.352163e-01 3.138076e-02
3.217642e-03 2.107557e+01 1.354524e-01 6.225325e-01 3.038856e-02
3.370064e-03 2.102096e+01 1.321788e-01 6.100821e-01 2.942614e-02
3.529707e-03 2.096624e+01 1.289841e-01 5.978782e-01 2.849311e-02
3.696913e-03 2.091192e+01 1.258784e-01 5.859336e-01 2.758905e-02
